Time,is_action,is_modbus_error,is_state_refresh,targets,message
2026-02-11 00:37:53.116961,False,False,True,pump-ULS-LLS,
2026-02-11 00:38:00.274308,True,False,False,pump,pump on from LLS
2026-02-11 00:38:00.874205,False,False,True,pump-ULS-LLS,
2026-02-11 00:38:08.593956,False,False,True,pump-ULS-LLS,
2026-02-11 00:38:10.787378,True,False,False,pump,pump off from ULS
2026-02-11 00:38:16.329736,False,False,True,pump-ULS-LLS,
2026-02-11 00:38:21.299908,True,False,False,pump,pump on from LLS
2026-02-11 00:38:24.063330,False,False,True,pump-ULS-LLS,
2026-02-11 00:38:31.784023,False,False,True,pump-ULS-LLS,
2026-02-11 00:38:31.812260,True,False,False,pump,pump off from ULS
2026-02-11 00:38:39.519279,False,False,True,pump-ULS-LLS,
2026-02-11 00:38:42.324779,True,False,False,pump,pump on from LLS
2026-02-11 00:38:47.283389,False,False,True,pump-ULS-LLS,
2026-02-11 00:38:52.837133,True,False,False,pump,pump off from ULS
2026-02-11 00:38:55.014285,False,False,True,pump-ULS-LLS,
2026-02-11 00:39:02.735037,False,False,True,pump-ULS-LLS,
2026-02-11 00:39:03.349278,True,False,False,pump,pump on from LLS
2026-02-11 00:39:10.482854,False,False,True,pump-ULS-LLS,
2026-02-11 00:39:13.861603,True,False,False,pump,pump off from ULS
2026-02-11 00:39:18.259385,False,False,True,pump-ULS-LLS,
2026-02-11 00:39:24.373685,True,False,False,pump,pump on from LLS
2026-02-11 00:39:25.983665,False,False,True,pump-ULS-LLS,
2026-02-11 00:39:33.725642,False,False,True,pump-ULS-LLS,
2026-02-11 00:39:34.886575,True,False,False,pump,pump off from ULS
2026-02-11 00:39:41.494478,False,False,True,pump-ULS-LLS,
2026-02-11 00:39:45.398609,True,False,False,pump,pump on from LLS
2026-02-11 00:39:49.230754,False,False,True,pump-ULS-LLS,
2026-02-11 00:39:55.911264,True,False,False,pump,pump off from ULS
2026-02-11 00:39:57.005533,False,False,True,pump-ULS-LLS,
2026-02-11 00:40:04.746370,False,False,True,pump-ULS-LLS,
2026-02-11 00:40:06.424002,True,False,False,pump,pump on from LLS
2026-02-11 00:40:12.508131,False,False,True,pump-ULS-LLS,
2026-02-11 00:40:16.936241,True,False,False,pump,pump off from ULS
2026-02-11 00:40:20.258848,False,False,True,pump-ULS-LLS,
2026-02-11 00:40:27.448806,True,False,False,pump,pump on from LLS
2026-02-11 00:40:28.035846,False,False,True,pump-ULS-LLS,
2026-02-11 00:40:35.804532,False,False,True,pump-ULS-LLS,
2026-02-11 00:40:37.960956,True,False,False,pump,pump off from ULS
2026-02-11 00:40:43.573793,False,False,True,pump-ULS-LLS,
2026-02-11 00:40:48.473452,True,False,False,pump,pump on from LLS
2026-02-11 00:40:51.336574,False,False,True,pump-ULS-LLS,
2026-02-11 00:40:58.985847,True,False,False,pump,pump off from ULS
2026-02-11 00:40:59.085673,False,False,True,pump-ULS-LLS,
2026-02-11 00:41:06.826516,False,False,True,pump-ULS-LLS,
2026-02-11 00:41:09.498592,True,False,False,pump,pump on from LLS
2026-02-11 00:41:14.552630,False,False,True,pump-ULS-LLS,
2026-02-11 00:41:20.010588,True,False,False,pump,pump off from ULS
2026-02-11 00:41:22.267900,False,False,True,pump-ULS-LLS,
2026-02-11 00:41:30.063087,False,False,True,pump-ULS-LLS,
2026-02-11 00:41:30.523430,True,False,False,pump,pump on from LLS
2026-02-11 00:41:37.794045,False,False,True,pump-ULS-LLS,
2026-02-11 00:41:41.036932,True,False,False,pump,pump off from ULS
2026-02-11 00:41:45.584660,False,False,True,pump-ULS-LLS,
2026-02-11 00:41:51.548348,True,False,False,pump,pump on from LLS
2026-02-11 00:41:53.343043,False,False,True,pump-ULS-LLS,
2026-02-11 00:42:01.095437,False,False,True,pump-ULS-LLS,
2026-02-11 00:42:02.060977,True,False,False,pump,pump off from ULS
2026-02-11 00:42:08.851277,False,False,True,pump-ULS-LLS,
2026-02-11 00:42:12.573877,True,False,False,pump,pump on from LLS
2026-02-11 00:42:16.720834,False,False,True,pump-ULS-LLS,
2026-02-11 00:42:23.086706,True,False,False,pump,pump off from ULS
2026-02-11 00:42:24.784939,False,False,True,pump-ULS-LLS,
2026-02-11 00:42:32.875245,False,False,True,pump-ULS-LLS,
2026-02-11 00:42:33.600815,True,False,False,pump,pump on from LLS
2026-02-11 00:42:40.637448,False,False,True,pump-ULS-LLS,
2026-02-11 00:42:44.112945,True,False,False,pump,pump off from ULS
2026-02-11 00:42:48.410096,False,False,True,pump-ULS-LLS,
2026-02-11 00:42:54.624868,True,False,False,pump,pump on from LLS
2026-02-11 00:42:56.236422,False,False,True,pump-ULS-LLS,
2026-02-11 00:43:03.984993,False,False,True,pump-ULS-LLS,
2026-02-11 00:43:05.137120,True,False,False,pump,pump off from ULS
2026-02-11 00:43:11.734056,False,False,True,pump-ULS-LLS,
2026-02-11 00:43:15.649110,True,False,False,pump,pump on from LLS
2026-02-11 00:43:19.510808,False,False,True,pump-ULS-LLS,
2026-02-11 00:43:26.161982,True,False,False,pump,pump off from ULS
2026-02-11 00:43:27.268663,False,False,True,pump-ULS-LLS,
2026-02-11 00:43:35.027483,False,False,True,pump-ULS-LLS,
2026-02-11 00:43:36.674517,True,False,False,pump,pump on from LLS
2026-02-11 00:43:42.791603,False,False,True,pump-ULS-LLS,
2026-02-11 00:43:47.186887,True,False,False,pump,pump off from ULS
2026-02-11 00:43:50.556774,False,False,True,pump-ULS-LLS,
2026-02-11 00:43:57.699124,True,False,False,pump,pump on from LLS
2026-02-11 00:43:58.354723,False,False,True,pump-ULS-LLS,
2026-02-11 00:44:06.175606,False,False,True,pump-ULS-LLS,
2026-02-11 00:44:08.211859,True,False,False,pump,pump off from ULS
2026-02-11 00:44:13.975560,False,False,True,pump-ULS-LLS,
2026-02-11 00:44:18.724907,True,False,False,pump,pump on from LLS
